company_id,name,sectors,n_ties,n_directors,first_year,last_year
banquecommercialeindustrielle,Banque commerciale et industrielle,Groupes financiers transcoloniaux,11,11,1886,1910
tramway,Compagnie générale française des Tramway,Transports terrestres,11,11,1923,1923
internationaleminiereindustrielleestanera,Cie internationale minière et industrielle Estañera,Groupes miniers transcoloniaux,11,11,1928,1929
industriellepetroles,Compagnie Industrielle des Pétroles,Groupes miniers transcoloniaux,11,11,1913,1913
rouff,Société L. Rouff,Groupes financiers transcoloniaux,11,11,1929,1929
omniumelectricite,Omnium français d'électricité,"Eau et assainissement, électricité (utilities)",11,11,1909,1924
travauxhydrauliquesentreprisesgenerales,Travaux hydrauliques et entreprises générales,Bâtiment et travaux publics,11,11,1919,1922
sffc,SFFC,Groupes financiers transcoloniaux,17,10,1931,1944
outremer,Compagnie Générale d'Outre-mer,Groupes financiers transcoloniaux,13,10,1922,1925
algerienne,Compagnie algérienne,Documents généraux (par ordre chronologique),11,10,1937,1937
financierepalmeraies,Société Financière des Palmeraies,Groupes financiers transcoloniaux,11,10,1914,1920
saga,SAGA,Transports maritimes,11,10,1948,1948
creditmobilierindochinoisexploitationmonts,"Crédit mobilier indochinois, Société d'exploitation des Monts-de",Documents généraux (par ordre chronologique),10,10,1937,1937
banquesyrie,Banque française de Syrie,Documents généraux (par ordre chronologique),10,10,1937,1937
creditfonciersyrie,Crédit foncier de Syrie,Documents généraux (par ordre chronologique),10,10,1937,1937
financierecimentsindustrie,"Financière des Ciments et de l'industrie, puis Compagnie industrielle des ciments",Groupes financiers transcoloniaux,10,10,1928,1928
commercesudafricain,Société française du commerce du Sud-Africain,Sociétés commerciales transcoloniales,10,10,1896,1896
holdingcoloniale,La Holding coloniale,Groupes financiers transcoloniaux,10,10,1951,1951
minesfermouriere,Société des Mines de fer de La Mourière,Groupes miniers transcoloniaux,10,10,1925,1938
baronnervopdtdirgen,"Baron L. de Nervo, pdt-dir. gén",Groupes miniers transcoloniaux,10,10,1950,1950
tronquegauche,Tronqué à gauche,Transports maritimes,10,10,1938,1938
auxiliairenavigation,Cie Auxiliaire de navigation,Documents généraux (par ordre chronologique); Transports maritimes,21,9,1912,1937
unionelectriquecoloniale,"Union électrique coloniale, puis Union électrique d’outre-mer","Documents généraux (par ordre chronologique); Eau et assainissement, électricité (utilities)",20,9,1936,1948
banqueinterets,Banque des intérêts français,Groupes financiers transcoloniaux,18,9,1926,1927
