company_id_1,company_id_2,company_name_1,company_name_2,weight,shared_directors
importationboisexotiques,kong,Société d'Importation de bois exotiques,Compagnie française de Kong,3,levy-g; mizraki-m; vivier-e
importationboisexotiques,plantationselimacafeiersaboisso,Société d'Importation de bois exotiques,"Société des Plantations d'Élima, caféiers à Aboisso",3,levy-g; merle; mizraki-m
importationboisexotiques,transitgrandlahou,Société d'Importation de bois exotiques,Société de Transit de Grand-Lahou,3,levy-g; mizraki-m; plagelat-l
constructionafricaine,silicocalcaireafricaine,La Construction africaine,La Silico-Calcaire africaine,3,berengier-m; legrand-r; superville-m
coteafrique,coteivoire,CÔTE D'AFRIQUE,Compagnie Française de la Côte d'Ivoire,3,dessau; estier-f; jerichow
kokumbocoltd,kong,Kokumbo Co. Ltd,Compagnie française de Kong,3,g-simonnet; terquem; terquem-l
bananeriesafricaines,etablissementsjdelmasafricaineimportation,Bananeries africaines,Établissements J.-A. Delmas et Compagnie (Société africaine d'importation et,3,delmas-p; delmas-r; o-quin-p
bananeriesafricaines,manutentionafricaine,Bananeries africaines,Manutention africaine,3,delmas-p; delmas-r; o-quin-p
bananeriesafricaines,techniqueexploitationbananiere,Bananeries africaines,Société Technique d'Exploitation bananiere,3,delmas-p; loste-h; o-quin-p
messageriesafricaines,messageriessenegal,Messageries africaines,Messageries du Sénégal,3,delmas-p; durand-reville-l; villars-r
messageriesafricaines,unionremorqueursdakar,Messageries africaines,Union des remorqueurs de Dakar,3,bos-p; delmas-p; lemaignen-r
comptoirrepresentationsafrique,nationalecommerce,Comptoir général de représentations pour l'Afrique,Cie Nationale de COMMERCE,3,montet-p; richard-e; viriville-g
commerceafricain,etablissementsbartheslesieur,Compagnie Française de Commerce africain,Établissements Barthès et Lesieur,3,barthes-c; cladiere-v; lesieur-p
banqueafriqueoccidentale,macinaniger,Banque de l'Afrique occidentale,Macina-Niger,3,maurel-e; maurel-j; prom-l
bordeauxdirectionnantes,commercialeafricaine,BORDEAUX (Direction à NANTES,Commerciale Africaine,3,buhan-p; thube-a; thube-fils-g
bordeauxdirectionnantes,nigerguinee,BORDEAUX (Direction à NANTES,NIGER-GUINÉE,3,buhan-p; thube-a; thube-fils-g
commercialeafricaine,navigationpaquet,Commerciale Africaine,Compagnie de navigation Paquet,3,buhan-p; exportation-au-senegal; thube-a
aboisso,commercialeafricaine,ABOISSO,Commerciale Africaine,3,deveaud-p; faure-a; thube-a
aboisso,coteivoire,ABOISSO,Compagnie Française de la Côte d'Ivoire,3,deveaud-p; faure-a; thube-a
aboisso,miniereniger,ABOISSO,Société Minière du Niger français,3,deveaud-p; faure-a; thube-a
aboisso,niger,ABOISSO,Compagnie du Niger français,3,deveaud-p; faure-a; thube-a
commercialeafricaine,miniereniger,Commerciale Africaine,Société Minière du Niger français,3,deveaud-p; faure-a; thube-a
coteivoire,miniereniger,Compagnie Française de la Côte d'Ivoire,Société Minière du Niger français,3,deveaud-p; faure-a; thube-a
miniereniger,niger,Société Minière du Niger français,Compagnie du Niger français,3,deveaud-p; faure-a; thube-a
commercialeindustriellepalmeraiesafricaines,plantationstanoe,Société commerciale et industrielle des palmeraies africaines,Société des plantations de la Tanoé,3,allibaud-j; desouches-b; weber-j
palmador,palmador1,Société Palmador,Société Palmador 1,3,de-logiviere-h; eichenberger-f; gardissal-m
culturesdiakandape,delmas,Cultures de Diakandapé,DELMAS,3,begouen; chaumet-g; deves-p
delmas,messageriesafricaines,DELMAS,Messageries africaines,3,begouen; begouen-j; deves-p
etablissementsdeveschaumet,messageriesafricaines,Établissements Devès et Chaumet,Messageries africaines,3,begouen-j; begouen-m; deves-p
minessiguiri,miniereguinee,Compagnie des Mines de Siguiri,Compagnie Minière de la Guinée française,3,c-drosso; drosso-c; officier-d-artillerie-v
huileriesafricaines,salinssinesaloum,Huileries africaines,Salins du Sine Saloum,3,de-rivaud-o; e-mathon; mathon-e
hortala,huileriesafricainesdrewin,HORTALA,"Société des Huileries africaines, Drewin",3,pernotte-j; rosa-e; van-de-velde-w
huileriesafricaines,huileriesplantationscoteivoire,Huileries africaines,Société française des Huileries et plantations de la Côte-d’Ivoire,3,delsaux-p; mathon-e; toulemonde-l
