from_company_id,to_company_id,from_name,to_name,n_observations,first_year,last_year,roles
rouenadministrateurcomptoirmetallurgiquemaroc,fasielectricite,Rouen. Administrateur du Comptoir métallurgique du Maroc,Cie fasi d'électricité,1,1913,1913,administrateur:1
ductetuan,hispanomarocainegazelectricite,duc de Tetuan,Cie hispano-marocaine de gaz et d'électricité,1,1913,1913,administrateur:1
admportbizerte,portfedhala,adm. Cie du port de Bizerte,Cie du port de Fédhala,1,1913,1913,administrateur_delegue:1
comtevillermont,omniumalgeriemarocfrancoespagnolemines,comte de Villermont,"Omnium d'Algérie-Maroc, Sté franco-espagnole de mines",1,1913,1913,administrateur:1
raoulsautterbanqueodier,brasseriesmaroc,Raoul Sautter [de la banque Odier,Sté des brasseries du Maroc,1,1913,1913,president:1
delanneparenteavecclaudedelanne,camionnagemarocainealgerienne,général Delanne [Parenté avec Claude Delanne,Sté de camionnage marocaine et algérienne,1,1913,1913,president:1
ctebertiersauvigny,constructionsmixtesmaroc,Cte de Bertier de Sauvigny,Sté de constructions mixtes au Maroc,1,1913,1913,administrateur:1
mineskroumirie,abattoirsmunicipauxmaroc,des Mines de Kroumirie,Sté générale des abattoirs municipaux au Maroc,1,1927,1927,administrateur:1
admbqetatmaroc,huileriesmaghreb,adm. Bq d'État du Maroc],Sté des huileries du Maghreb,1,1927,1927,administrateur:1
creditlyonnais,immobilierelyonnaisemarocainechezmmasbanquiercondrieu,du Crédit lyonnais],"Sté immobilière lyonnaise marocaine, Chez M. Mas, banquier, CONDRIEU",1,1927,1927,administrateur:1
banqueparis,industriellemarocaine,Banque de Paris,Sté industrielle marocaine,1,1927,1927,administrateur:1
commercialeabyssinie,industriellemarocaine,de la Société commerciale d'Abyssinie,Sté industrielle marocaine,1,1927,1927,administrateur:1
commerce,industriellemarocaine,de la Cie de commerce,Sté industrielle marocaine,1,1927,1927,administrateur:1
agricoleannam,marocainescieriesatlas,Cie agricole d'Annam,Sté marocaine des scieries de l'Atlas,1,1958,1958,president:1
etsfouldspringer,marocainescieriesatlas,des Éts Fould-Springer,Sté marocaine des scieries de l'Atlas,1,1958,1958,administrateur:1
entreprisesmaroc,marocainescieriesatlas,de la Société générale d'entreprises au Maroc,Sté marocaine des scieries de l'Atlas,1,1958,1958,administrateur:1
cherifiennecarpettes,marocainescieriesatlas,de la Cie chérifienne des carpettes,Sté marocaine des scieries de l'Atlas,1,1958,1958,administrateur:1
sebou,marocainescieriesatlas,de la Compagnie du Sébou,Sté marocaine des scieries de l'Atlas,1,1958,1958,administrateur:1
omniumlyonnais,minieremaroc,Omnium lyonnais,Sté minière française au Maroc,1,1958,1958,administrateur:1
