person_key,surname,given_variants,n_ties,n_name_variants,name_variants
gruson-c,Gruson,C.,1,1,C. Gruson
ot-de-mme,ot de Mme,,1,1,ot de Mme
lycee-de-bordeaux,Lycée de Bordeaux,,1,1,Lycée de Bordeaux
polytechnique-e,polytechnique,École,1,1,École polytechnique
cambiaggio,Cambiaggio,,1,1,Cambiaggio
danican-philidor,Danican-Philidor,,1,1,Danican-Philidor
manoach,Manoach,,1,1,Manoach
fils-de-georges-thurneysen,Fils de Georges Thurneysen,,1,1,Fils de Georges Thurneysen
astruc,Astruc,,1,1,Astruc
bessis,Bessis,,1,1,Bessis
aubet-a,Aubet,A.,1,1,A. Aubet
crete,Crété,,1,1,Crété
du-boys-p,du Boys,Philippe,1,1,Philippe du Boys
crete-m,Crété,Maxime,1,1,Maxime Crété
hadjoudj-m,Hadjoudj,Mohamed,1,1,Mohamed Hadjoudj
de-tournemire-h,de Tournemire,Henri,1,1,Henri de Tournemire
cambon-j,Cambon,Jules,1,1,Jules Cambon
hon-dso-sydney-peel,Hon. D.s.o. Sydney Peel,,1,1,Hon. D.s.o. Sydney Peel
angulo-y-heredia-de-caviedes-r,Angulo y Heredia de Caviedes,R.,1,1,R. Angulo y Heredia de Caviedes
addis,ADDIS,,1,1,ADDIS
ec-de-san-luis-l,E.C. 3. De SAN LUIS,Londres,1,1,Londres E.C. 3. De SAN LUIS
plaza-de-la-lealtad,plaza de la Lealtad,,1,1,plaza de la Lealtad
ed-carton-de-wiart,Ed. Carton de Wiart,,1,1,Ed. Carton de Wiart
mohamed-tazi-s,Mohamed Tazi,S.E.,1,1,S.E. Mohamed Tazi
pilotti-r,Pilotti,Raffaele,1,1,Raffaele Pilotti
le-grelle-e,le Grelle,Émile,1,1,Émile le Grelle
leprou-a,Leprou,Alphonse,1,1,Alphonse Leprou
quignard-c,Quignard,Christian,1,1,Christian Quignard
de-matteis-e,de Matteis,Ernest,1,1,Ernest de Matteis
delacroix-laval-m,Delacroix-Laval,Maurice,1,1,Maurice Delacroix-Laval
jiogia-d,Jiogia,Decio,1,1,Decio Jiogia
juzaud-a,Juzaud,Alfred,1,1,Alfred Juzaud
seyman-e,Seyman,Edouard,1,1,Edouard Seyman
galano-j,Galano,Jean,1,1,Jean Galano
potier-g,Potier,Georges,1,1,Georges Potier
dumergue-m,Dumergue,Maurice,1,1,Maurice Dumergue
socrate-a,Socrate,Alfano,1,1,Alfano Socrate
pasqualini-e,Pasqualini,Édouard,1,1,Édouard Pasqualini
alfano,Alfano,,1,1,Alfano
de-pommerol-f,de Pommerol,François Julien,1,1,François Julien de Pommerol
m-le-lay-y,M Le Lay,Yves,1,1,Yves M Le Lay
m-gautier-d,M Gautier,Daniel,1,1,Daniel M Gautier
m-robert-g,M Robert,Georges,1,1,Georges M Robert
m-lauriol-a,M Lauriol,Albert Emile,1,1,Albert Emile M Lauriol
m-mercier-e,M. MERCIER,Et,1,1,Et M. MERCIER
bastos-f,Bastos,F.-A.,1,1,F.-A. Bastos
veuve-m,Veuve,Michel,1,1,Michel Veuve
emerat-a,Émerat,Albéric,1,1,Albéric Émerat
bernasconi-j,Bernasconi,J.,1,1,J. Bernasconi
hugonet-g,Hugonet,G.,1,1,G. Hugonet
sb-p,S.B,Procédés,1,1,Procédés S.B
bannel,Bannel,,1,1,Bannel
d-escayrac-b,d'Escayrac,Boulancy,1,1,Boulancy d'Escayrac
chemins-de-fer,Chemins de fer,,1,1,Chemins de fer
d-estrees-blanche-c,d'Estrées-Blanche,Carrières,1,1,Carrières d'Estrées-Blanche
pleyel,Pleyel,,1,1,Pleyel
armement,Armement,,1,1,Armement
angleterre-lorraine-alsace,Angleterre-Lorraine-Alsace,,1,1,Angleterre-Lorraine-Alsace
valogne-g,Valogne,G.,1,1,G. Valogne
pasteau,Pasteau,,1,1,Pasteau
roger-m,Roger,Maxime,1,1,Maxime Roger
manuel-y-vieira,Manuel Y Vieira,,1,1,Manuel Y Vieira
monnier-comte-a-walewski-f,Monnier comte A. Walewski,F.,1,1,F. Monnier comte A. Walewski
monnier-f,Monnier,F.,1,1,F. Monnier
buttgenbach,Buttgenbach,,1,1,Buttgenbach
dessi,Dessi,,1,1,Dessi
stevens,Stevens,,1,1,Stevens
mourlon,Mourlon,,1,1,Mourlon
hannecart,Hannecart,,1,1,Hannecart
chateau-du-parc-des-dames,château du Parc des Dames,,1,1,château du Parc des Dames
poste-wesemael,poste Wesemael,,1,1,poste Wesemael
pres-louvain,près Louvain,,1,1,près Louvain
fraiteur,Fraiteur,,1,1,Fraiteur
van-der-rest-m,van Der Rest,Maurice,1,1,Maurice van Der Rest
emsens-j,Emsens,Jean,1,1,Jean Emsens
hamoir-a,Hamoir,André,1,1,André Hamoir
rolin-a,Rolin,André,1,1,André Rolin
rolin-e,Rolin,Etienne,1,1,Etienne Rolin
sept-merveilles,Sept-Merveilles,,1,1,Sept-Merveilles
telemly,Télemly,,1,1,Télemly
de-las-cases-e,de Las Cases,Emmanuel,1,1,Emmanuel de Las Cases
et-eugene-le-grand,et Eugène Le Grand,,1,1,et Eugène Le Grand
weisse-f,Weisse,F.,1,1,F. Weisse
paillat-h,Paillat,H.,1,1,H. Paillat
mongreville-e,Mongreville,E.,1,1,E. Mongreville
mongreville,Mongreville,,1,1,Mongreville
d-orival-r,d' Orival,René,1,1,René d' Orival
elloy-lannegrace-m,Elloy-Lannegrace,Marcel,1,1,Marcel Elloy-Lannegrace
bruvez-c,Bruvez,Charles,1,1,Charles Bruvez
treuille-j,Treuille,Jean-Henri,1,1,Jean-Henri Treuille
montaldo-j,Montaldo,J.,1,1,J. Montaldo
ellul-p,Ellul,Paul,1,1,Paul Ellul
ellul-j,Ellul,Joseph,1,1,Joseph Ellul
michaelef,MICHAËLEF,,1,1,MICHAËLEF
bossan-a,Bossan,Antonin,1,1,Antonin Bossan
cachin-j,Cachin,Jean,1,1,Jean Cachin
cortey,CORTEY,,1,1,CORTEY
hoskier-e,Hoskier,Émile,1,1,Émile Hoskier
lesage-p,Lesage,Paul,1,1,Paul Lesage
thureau-j,Thureau,Joseph,1,1,Joseph Thureau
recu-recemment-j,reçu récemment,J'ai,1,1,J'ai reçu récemment
a-helene-grimprel-m,à Hélène Grimprel,marié,1,1,marié à Hélène Grimprel
sur-d-yvonne,sœur d'Yvonne,,1,1,sœur d'Yvonne
veuve-de-paul-chabol,veuve de Paul Chabol,,1,1,veuve de Paul Chabol
guestier-d,Guestier,D.,1,1,D. Guestier
gentil-g,Gentil,G.,1,1,G. Gentil
general-s,général,Secrétaire,1,1,Secrétaire général
el-hadj-thami,el Hadj Thami,,1,1,el Hadj Thami
pacha-de-marrakech,Pacha de Marrakech,,1,1,Pacha de Marrakech
represente-par-m-jean-epinat,représenté par M. Jean EPINAT,,1,1,représenté par M. Jean EPINAT
traitement-chemin-de-fer-concession,TRAITEMENT CHEMIN DE FER Concession,,1,1,TRAITEMENT CHEMIN DE FER Concession
par-camions-autos-a-marrakech-t,par camions autos à Marrakech,Transport,1,1,Transport par camions autos à Marrakech
crabbe,? Crabbe,,1,1,? Crabbe
douphy,Douphy,,1,1,Douphy
wibaux-l,Wibaux,Léon,1,1,Léon Wibaux
enclos-saint-bertin,enclos Saint-Bertin,,1,1,enclos Saint-Bertin
poelle,POELLE,,1,1,POELLE
rouget-v,Rouget,V.,1,1,V. Rouget
th-alcay,Th. Alcay,,1,1,Th. Alcay
bargeton-l,Bargeton,L.,1,1,L. Bargeton
honnore-g,Honnoré,G.,1,1,G. Honnoré
moyse-c,Moyse,Camille,1,1,Camille Moyse
eonnet,Eonnet,,1,1,Eonnet
margerie,Margerie,,1,1,Margerie
levi-alvares,Lévi-Alvarès,,1,1,Lévi-Alvarès
maud-huy-g,Maud'huy,G.,1,1,G. Maud'huy
grand-piace,Grand-PIace,,1,1,Grand-PIace
rambaud-a-lyon-r,Rambaud à Lyon,Régis,1,1,Régis Rambaud à Lyon
et-jos-van-put,et Jos Van put,,1,1,et Jos Van put
bouilloux-laffont-m,Bouilloux-Laffont,Marcel,1,1,Marcel Bouilloux-Laffont
nalis-j,Nalis,J.,1,1,J. Nalis
veil-b,Veil,B.,1,1,B. Veil
agache,Agache,,1,1,Agache
ferasson-a-galicier-l,Férasson A. Galicier,L.,1,1,L. Férasson A. Galicier
flouret,Flouret,,1,1,Flouret
bras-droit-du-banquier-rene-gaston-dreyfus,bras droit du banquier René Gaston-Dreyfus,,1,1,bras droit du banquier René Gaston-Dreyfus
professeur-a-l-ecole-de-brasserie-de-nancy,professeur à l'École de brasserie de Nancy,,1,1,professeur à l'École de brasserie de Nancy
duffo,Duffo,,1,1,Duffo
pourpe-e,Pourpe,Edmond,1,1,Edmond Pourpe
gaujoux-l,Gaujoux,Louis,1,1,Louis Gaujoux
paget-h,Paget,Henri,1,1,Henri Paget
fort-a,Fort,Albert,1,1,Albert Fort
martin-saint-leon-m,Martin Saint-Léon,Marcel,1,1,Marcel Martin Saint-Léon
pariente-s,Pariente,Sylvain,1,1,Sylvain Pariente
guedj-e,Guedj,Élie,1,1,Élie Guedj
adda-s,Adda,Salomon,1,1,Salomon Adda
reynes-l,Reynes,Louis,1,1,Louis Reynes
bonneville-a,Bonneville,Aimé,1,1,Aimé Bonneville
nessler-c,Nessler,Charles,1,1,Charles Nessler
piotrowski-c,Piotrowski,Charles,1,1,Charles Piotrowski
scotto-d,Scotto,Dominique,1,1,Dominique Scotto
bedoin,BEDOIN,,1,1,BEDOIN
nogaro,NOGARO,,1,1,NOGARO
cotoni-l,Cotoni,Lucien,1,1,Lucien Cotoni
chemla-d,Chemla,D.,1,1,D. Chemla
maubert-d,Maubert,Donat,1,1,Donat Maubert
rongier-e,Rongier,Émile,1,1,Émile Rongier
louis-champ-v,Louis Champ,Vve,1,1,Vve Louis Champ
jouane-g,Jouane,Gaston,1,1,Gaston Jouane
des-fontaines,Des Fontaines,,1,1,Des Fontaines
jospeh-de-nailly,Jospeh de Nailly,,1,1,Jospeh de Nailly
delanne,Delanne,,1,1,Delanne
deros,Deros,,1,1,Deros
cervera-r,Cervera,Rapahël,1,1,Rapahël Cervera
gaudiani,Gaudiani,,1,1,Gaudiani
fortier,Fortier,,1,1,Fortier
maury,Maury,,1,1,Maury
nertz-leon-ullmann-gr-paris-j,Nertz ? Léon Ullmann gr. Paris,J.,1,1,J. Nertz ? Léon Ullmann gr. Paris
charron-a,Charron,Albert,1,1,Albert Charron
guyon-h,Guyon,Henri,1,1,Henri Guyon
santol-a,Santol,André,1,1,André Santol
negrier-p,Négrier,Paul,1,1,Paul Négrier
malaussene,MALAUSSENE,,1,1,MALAUSSENE
brusteau,BRUSTEAU,,1,1,BRUSTEAU
langlois-h,Langlois,Henri,1,1,Henri Langlois
janolin-p,Janolin,Paul,1,1,Paul Janolin
barbedette,Barbedette,,1,1,Barbedette
auriacombe,Auriacombe,,1,1,Auriacombe
guiguet,Guiguet,,1,1,Guiguet
lebar,Lebar,,1,1,Lebar
mariel,Mariel,,1,1,Mariel
baudoin-de-maisonblanche,Baudoin de Maisonblanche,,1,1,Baudoin de Maisonblanche
deiss,Deiss,,1,1,Deiss
guiguet-c,Guiguet,Ch.,1,1,Ch. Guiguet
lebar-s,Lebar,S.,1,1,S. Lebar
mariel-a,Mariel,A.,1,1,A. Mariel
chez-m-j-choiseau,chez M. J. Choiseau,,1,1,chez M. J. Choiseau
galerie-vivienne,galerie Vivienne,,1,1,galerie Vivienne
papiers-de-paris,papiers de Paris,,1,1,papiers de Paris
letourneau,Letourneau,,1,1,Letourneau
weber-d,Weber,Diebold,1,1,Diebold Weber
lauvray-l,Lauvray,L.-A.,1,1,L.-A. Lauvray
maisant,Maisant,,1,1,Maisant
ratier,Ratier,,1,1,Ratier
zandyck,Zandyck,,1,1,Zandyck
besancon,Besançon,,1,1,Besançon
fabrication-de-sacs-pour-l-alimentation-avec,Fabrication de sacs pour l'alimentation avec,,1,1,Fabrication de sacs pour l'alimentation avec
fabrication-de-papiers-cristal,Fabrication de papiers cristal,,1,1,Fabrication de papiers cristal
lauvray-a,Lauvray,A.,1,1,A. Lauvray
moisant-b,Moisant,B.,1,1,B. Moisant
chr-saint,Chr. Saint,,1,1,Chr. Saint
farodeau,Farodeau,,1,1,Farodeau
coquet-p,Coquet,P.,1,1,P. Coquet
debray-j,Debray,J.,1,1,J. Debray
grouas-j,Grouas,J.,1,1,J. Grouas
maisant-b,Maisant,B.,1,1,B. Maisant
ratier-c,Ratier,C.,1,1,C. Ratier
franck-h,Franck,H.,1,1,H. Franck
gilberton-v,Gilberton,V.,1,1,V. Gilberton
zandyck-e,Zandyck,Émile,1,1,Émile Zandyck
burdin,Burdin,,1,1,Burdin
lepeinteur,Lepeinteur,,1,1,Lepeinteur
frederic-a,Frédéric,Alphonse,1,1,Alphonse Frédéric
richard-l,Richard,Louis,1,1,Louis Richard
chatou,Chatou,,1,1,Chatou
chataur,CHATAUR,,1,1,CHATAUR
chataux-l,Chataux,Louis,1,1,Louis Chataux
alp-cajot,Alp. Cajot,,1,1,Alp. Cajot
cajot-a,Cajot,Alfred,1,1,Alfred Cajot
cedie-c,Cédié,Charles,1,1,Charles Cédié
remisier-d-agent-de-i-change,remisier d'agent de I change,,1,1,remisier d'agent de I change
fenestre-j,Fenestre,John,1,1,John Fenestre
perchais-a,Perchais,Alexandre,1,1,Alexandre Perchais
rogo-a,Rogo,Achille,1,1,Achille Rogo
jullien-de-pommerol-e,Jullien de Pommerol,Emmanuel,1,1,Emmanuel Jullien de Pommerol
gouderax,Gouderax,,1,1,Gouderax
caqueray-g,Caqueray,Gaston de,1,1,Gaston de Caqueray
sejourne-p,Séjourné,Paul,1,1,Paul Séjourné
philippe-l,Philippe,Léon,1,1,Léon Philippe
rene-taillandier-s,René Taillandier,Saint-,1,1,Saint- René Taillandier
plm,PLM,,1,1,PLM
p-o,P.-O,,1,1,P.-O
mange-h,Mange,H.,1,1,H. Mange
japiot,Japiot,,1,1,Japiot
jullien-o-moreau-neret-a,Jullien O. Moreau- Néret,A.,1,1,A. Jullien O. Moreau- Néret
villers-h,Villers,H.,1,1,H. Villers
doit-comprendre-neuf-francais,doit comprendre neuf Français,,1,1,doit comprendre neuf Français
ganderax-ancien-diplomate-e,Ganderax [ancien diplomate,Étienne,1,1,Étienne Ganderax [ancien diplomate
gomez-duran-j,Gomez Duran,J.,1,1,J. Gomez Duran
letondot-g,Letondot,G.,1,1,G. Letondot
ruiz-palu-f,Ruiz Palu,F.,1,1,F. Ruiz Palu
serrano-lopez-c,Serrano Lopez,C.,1,1,C. Serrano Lopez
de-pellerin-de-latouche-g,de Pellerin de Latouche,Gaston,1,1,Gaston de Pellerin de Latouche
juillet-saint-lager-f,Juillet- Saint-Lager,Fernand,1,1,Fernand Juillet- Saint-Lager
saint-lager-j,Saint-Lager,Juillet,1,1,Juillet Saint-Lager
mirabaud-j,Mirabaud,J.,1,1,J. Mirabaud
paysant,Paysant,,1,1,Paysant
chatoney,Chatoney,,1,1,Chatoney
chatoney-e,Chatoney,Eugène,1,1,Eugène Chatoney
hotel-aletti,hôtel Aletti,,1,1,hôtel Aletti
el-biar-alger,El Biar-Alger,,1,1,El Biar-Alger
chemins-de-fer-sur-routes-d-algerie,Chemins de fer sur routes d'Algérie,,1,1,Chemins de fer sur routes d'Algérie
daurces-c,Daurces,C.,1,1,C. Daurces
guastavino-j,Guastavino,J.-M.,1,1,J.-M. Guastavino
rivaux-p,Rivaux,Paul,1,1,Paul Rivaux
hermann-de-pitteurs-de-budingen,Hermann de Pitteurs de Budingen,,1,1,Hermann de Pitteurs de Budingen
elie-lefebvre-r,Élie-Lefèbvre,Robert,1,1,Robert Élie-Lefèbvre
lefebvre-r,Lefebvre,Robert Elie,1,1,Robert Elie Lefebvre
lespineux-g,Lespineux,Georges,1,1,Georges Lespineux
herman-de-pitteurs-de-budingen,Herman de Pitteurs de Budingen,,1,1,Herman de Pitteurs de Budingen
labbe-l,Labbé,Léon,1,1,Léon Labbé
roussel-n,ROUSSEL,N.,1,1,N. ROUSSEL
a-j-l-lebon,A.- J.-L. Lebon,,1,1,A.- J.-L. Lebon
sondheimer-f,Sondheimer,F.,1,1,F. Sondheimer
m-michenot-s,M. Michenot,Secrétaire,1,1,Secrétaire M. Michenot
herouville,Hérouville,,1,1,Hérouville
noyelle-j,Noyelle,Joseph,1,1,Joseph Noyelle
droulers-c,Droulers,Charles,1,1,Charles Droulers
gerdil-h,Gerdil,Henry,1,1,Henry Gerdil
d-halluin-j,d' Halluin,Jules,1,1,Jules d' Halluin
geo-h-pollet-tiberghien,Geo-H. Pollet-Tiberghien,,1,1,Geo-H. Pollet-Tiberghien
depaeuw-n,Depaeuw,Néry,1,1,Néry Depaeuw
derly-c,Derly,Charles,1,1,Charles Derly
pinon-f,Pinon,Fernand,1,1,Fernand Pinon
quigneaux-a,Quigneaux,Alfred,1,1,Alfred Quigneaux
gregh-f,Gregh,F.,1,1,F. Gregh
mohamed-ben-ali-s,Mohamed ben Ali,S.,1,1,S. Mohamed ben Ali
rives-n,Rives,N.,1,1,N. Rives
audoin-p,Audoin,P.,1,1,P. Audoin
armand-l,Armand,L.,1,1,L. Armand
yrissou-h,Yrissou,H.,1,1,H. Yrissou
rive-n,Rive,N.,1,1,N. Rive
harrisson-j,Harrisson,John,1,1,John Harrisson
harrisson-a,Harrisson,Alfred,1,1,Alfred Harrisson
battly-a,Battly,Arthur,1,1,Arthur Battly
bellamy-f,Bellamy,Farrow,1,1,Farrow Bellamy
rodney-hooper-c,Rodney Hooper,C.,1,1,C. Rodney Hooper
barber-l,Barber,Léonard,1,1,Léonard Barber
binachon-m,Binachon,Michel-Louis,1,1,Michel-Louis Binachon
brisson-ingenieur-e,Brisson ingénieur,Edgard,1,1,Edgard Brisson ingénieur
et-raoul-tedde,et Raoul Teddé,,1,1,et Raoul Teddé
binachon,Binachon,,1,1,Binachon
brisson,Brisson,,1,1,Brisson
laurens,Laurens,,1,1,Laurens
stem,Stem,,1,1,Stem
fonde-de-pouvoirs-de-la-maison-balland-brugneaux,fondé de pouvoirs de la Maison Balland-Brugneaux,,1,1,fondé de pouvoirs de la Maison Balland-Brugneaux
et-charles-champy,et Charles Champy,,1,1,et Charles Champy
deckers-h,Deckers,H.,1,1,H. Deckers
plisson-f,Plisson,F.,1,1,F. Plisson
dussaix-r,Dussaix,Robert,1,1,Robert Dussaix
adm-ciments-portland-de-l-indoch,adm. Ciments Portland de l'Indoch,,1,1,adm. Ciments Portland de l'Indoch
lahaye,Lahaye,,1,1,Lahaye
dugardin-m,Dugardin,Maurice,1,1,Maurice Dugardin
weil-s,Weil,S.,1,1,S. Weil
causse-a,Causse,Amable,1,1,Amable Causse
barruel-p,Barruel,Paul,1,1,Paul Barruel
toulzac-j,Toulzac,Jules,1,1,Jules Toulzac
auclair-h,Auclair,Henri,1,1,Henri Auclair
charpentier-l,Charpentier,Léon,1,1,Léon Charpentier
bouton-g,Bouton,G.,1,1,G. Bouton
genin,Genin,,1,1,Genin
bernier-c,Bernier,Ch.,1,1,Ch. Bernier
forret-g,Forret,G.,1,1,G. Forret
deneuville-a,Deneuville,A.,1,1,A. Deneuville
peulabeuf-l,Peulabeuf,L.,1,1,L. Peulabeuf
courrat-a,Courrat,A.,1,1,A. Courrat
cussac-l,Cussac,L.,1,1,L. Cussac
godin,Godin. 3,,1,1,Godin. 3
joret,Joret,,1,1,Joret
de-reinach-j,de Reinach,Jacques,1,1,Jacques de Reinach
boucher-leomenil-l,Boucher-Léoménil,Léon,1,1,Léon Boucher-Léoménil
hirsch-r,Hirsch,Robert,1,1,Robert Hirsch
baulant-r,Baulant,René,1,1,René Baulant
chemins-de-fer-de-l-est-algerien,Chemins de fer de l'Est-Algérien,,1,1,Chemins de fer de l'Est-Algérien
d-orleans-a-chalons-a,d'Orléans à Châlons,Annuités,1,1,Annuités d'Orléans à Châlons
transoceanique-n,Transocéanique,Navigation,1,1,Navigation Transocéanique
financieres-a,Financières,Applications,1,1,Applications Financières
fonderies-de-pongibaud,Fonderies de Pongibaud,,1,1,Fonderies de Pongibaud
ateliers-d-estampage-de-la-foulerie,ateliers d'Estampage de la Foulerie,,1,1,ateliers d'Estampage de la Foulerie
d-electricite-g,d'électricité,Générale,1,1,Générale d'électricité
eaux,Eaux,,1,1,Eaux
industrielle-a,Industrielle,Aérodynamique,1,1,Aérodynamique Industrielle
oleiques-p,Oléiques,Produits,1,1,Produits Oléiques
electrique-f,Electrique,Financière,1,1,Financière Electrique
contractuels-des-messageries-maritimes-s,contractuels des Messageries maritimes,Services,1,1,Services contractuels des Messageries maritimes
etc-nous-n-ignorions-point,etc. Nous n'ignorions point,,1,1,etc. Nous n'ignorions point
de-rohan-chabot,de Rohan-Chabot,,1,1,de Rohan-Chabot
lebermuth-a,Lebermuth,A.,1,1,A. Lebermuth
finlay-w,Finlay,W.-B.,1,1,W.-B. Finlay
al-herbert,Al. Herbert,,1,1,Al. Herbert
harding-g,Harding,G.-P.,1,1,G.-P. Harding
de-fourment,de Fourment,,1,1,de Fourment
sallas-j,Sallas,J.,1,1,J. Sallas
allelix-e,Allelix,E.,1,1,E. Allelix
richarme-p,Richarme,Petrus,1,1,Petrus Richarme
villain-h,Villain,Henri,1,1,Henri Villain
villard-t,Villard,Théodore,1,1,Théodore Villard
louis-marie-cesaire,Louis-Marie-Césaire,,1,1,Louis-Marie-Césaire
allelix,Allelix,,1,1,Allelix
th-villard,Th. Villard,,1,1,Th. Villard
tirman-l,Tirman,L.,1,1,L. Tirman
compte-des-frais-de-premier-etablissement-a,Compte des frais de premier établissement (A),,1,1,Compte des frais de premier établissement (A)
temouchent,Témouchent,,1,1,Témouchent
turenne,Turenne,,1,1,Turenne
de-malaret,de Malaret,,1,1,de Malaret
compte-des-frais-de-premier-etablissement,Compte des frais de premier établissement,,1,1,Compte des frais de premier établissement
cholet-l,Cholet,L.,1,1,L. Cholet
pouyer-h,Pouyer,H.,1,1,H. Pouyer
malaret,MALARET,,1,1,MALARET
bouteron-j,Bouteron,J.,1,1,J. Bouteron
d-artemare-p,d' Artemare,Philippe,1,1,Philippe d' Artemare
smith-l,Smith,L.,1,1,L. Smith
magnique-f,Magnique,Frédéric,1,1,Frédéric Magnique
carbonel-h,Carbonel,Henri,1,1,Henri Carbonel
sauf-besville-i,sauf BESVILLE,Idem,1,1,Idem sauf BESVILLE
van-der-ven-p,van Der Ven,Paul,1,1,Paul van Der Ven
balfour-horne-j,Balfour-Horne,John,1,1,John Balfour-Horne
moins-rolland-i,moins ROLLAND,Idem,1,1,Idem moins ROLLAND
chollet-a,Chollet,Adrien,1,1,Adrien Chollet
fait-suite-a-la-maison-nicolas-l,fait suite à la maison Nicolas,Longobardi,1,1,Longobardi fait suite à la maison Nicolas
longobardi,Longobardi,,1,1,Longobardi
g-hailaust,G Hailaust,,1,1,G Hailaust
descamps-m,Descamps,Maurice,1,1,Maurice Descamps
descamps-e,Descamps,Emmanuel,1,1,Emmanuel Descamps
manceau-l,Manceau,Louis,1,1,Louis Manceau
liger-r,Liger,René,1,1,René Liger
dal-paz-j,Dal Paz,John,1,1,John Dal Paz
chateau-de-ramonville,château de Ramonville,,1,1,château de Ramonville
beppo-de-massimi,Beppo de Massimi,,1,1,Beppo de Massimi
calle-alcala,calle Alcala,,1,1,calle Alcala
chateau-mervllla,château Mervllla,,1,1,château Mervllla
francisco-rubio-d,Francisco Rubio,Don,1,1,Don Francisco Rubio
principe-de-vergora,Principe de Vergora,,1,1,Principe de Vergora
et-gabriel-arnou,et Gabriel Arnou 2,,1,1,et Gabriel Arnou 2
pierre-g-latecoere,Pierre-G. Latécoère,,1,1,Pierre-G. Latécoère
teissier-du-cros-h,Teissier du Cros,Henri,1,1,Henri Teissier du Cros
auriol-e,Auriol,Eugène,1,1,Eugène Auriol
perrachon-paris-j,Perrachon Paris,Jean,1,1,Jean Perrachon Paris
eug-bares,Eug. Barès 8,,1,1,Eug. Barès 8
th-gab,Th. Gab 9,,1,1,Th. Gab 9
clolus-h,Clolus,H.,1,1,H. Clolus
verdet-f,Verdet,F.,1,1,F. Verdet
bellet-c,Bellet,Ch.,1,1,Ch. Bellet
sabatie-j,Sabatié,J.,1,1,J. Sabatié
moquin-tandon-a,Moquin- Tandon,A.,1,1,A. Moquin- Tandon
bouzereau,Bouzereau,,1,1,Bouzereau
pourtoborde,Pourtoborde,,1,1,Pourtoborde
meniel,Meniel,,1,1,Meniel
mohring-l,Mohring,Léon,1,1,Léon Mohring
graf-a,Graf,Auguste,1,1,Auguste Graf
condamin-j,Condamin,Joanny,1,1,Joanny Condamin
delay-f,Delay,François,1,1,François Delay
ferrier-f,Ferrier,François,1,1,François Ferrier
maillon-a,Maillon,Antoine,1,1,Antoine Maillon
vanney-h,Vanney,Henry,1,1,Henry Vanney
metton,Metton,,1,1,Metton
alf-pacquement,Alf. Pacquement 6,,1,1,Alf. Pacquement 6
vial-d,Vial,Denis,1,1,Denis Vial
calmel-a,Calmel,Antoine,1,1,Antoine Calmel
beal-a,Beal,Adrien,1,1,Adrien Beal
cornu-j,Cornu,Jean,1,1,Jean Cornu
bellay-r,Bellay,Robert,1,1,Robert Bellay
gerardot-h,Gérardot,Henri,1,1,Henri Gérardot
fournier-l,Fournier,Lucien,1,1,Lucien Fournier
mallet-l,Mallet,Lucien,1,1,Lucien Mallet
laisant,Laisant,,1,1,Laisant
sapia,Sapia,,1,1,Sapia
sarlin-pere-e,Sarlin père,Eugène,1,1,Eugène Sarlin père
sarlin-fils-e,Sarlin fils,Eugène,1,1,Eugène Sarlin fils
carie-g,Carié,G.,1,1,G. Carié
dufour-a,Dufour,Auguste,1,1,Auguste Dufour
et-pierre-ferrand,et Pierre Ferrand,,1,1,et Pierre Ferrand
dufoni-a,Dufoni,Auguste,1,1,Auguste Dufoni
lombardet-f,Lombardet. 1,Frédéric-Marie,1,1,Frédéric-Marie Lombardet. 1
bessis-v,Bessis,Victor,1,1,Victor Bessis
joubert-h,Joubert,Henri,1,1,Henri Joubert
montefiore-g,Montefiore,Guido,1,1,Guido Montefiore
marrakech-gueliz,Marrakech-Guéliz,,1,1,Marrakech-Guéliz
a-yvonne-laniel-m,à Yvonne Laniel,marié,1,1,marié à Yvonne Laniel
fille-d-henri-laniel,fille d'Henri Laniel,,1,1,fille d'Henri Laniel
descours-desacres-j,Descours-Desacres,Jacques,1,1,Jacques Descours-Desacres
elisabeth,Élisabeth,,1,1,Élisabeth
mariee-a-pierre-donon,mariée à Pierre Donon,,1,1,mariée à Pierre Donon
bayle-p,Bayle,Pierre,1,1,Pierre Bayle
baizeau,Baizeau,,1,1,Baizeau
baizeau-r,Baizeau,Roger,1,1,Roger Baizeau
maron,Maron,,1,1,Maron
chevallier,Chevallier,,1,1,Chevallier
martinier,Martinier,,1,1,Martinier
et-p-wiriot,et P. Wiriot,,1,1,et P. Wiriot
jourdan-m,Jourdan,Michel,1,1,Michel Jourdan
patin-de-saulcourt,Patin de Saulcourt,,1,1,Patin de Saulcourt
grande-rue-de-monplaisir,Grande-Rue de Monplaisir,,1,1,Grande-Rue de Monplaisir
metay-h,Métay,Henry,1,1,Henry Métay
maudet-m,Maudet,Marcel,1,1,Marcel Maudet
et-m-olivaux,et M. Olivaux,,1,1,et M. Olivaux
maudet,Maudet,,1,1,Maudet
olivaux,Olivaux,,1,1,Olivaux
metay,Métay,,1,1,Métay
monnot,Monnot,,1,1,Monnot
chateaurenard,Châteaurenard,,1,1,Châteaurenard
heritier,Héritier,,1,1,Héritier
seurre,Seurre,,1,1,Seurre
birot-j,Birot,Joseph,1,1,Joseph Birot
professeur-a-l-universite-de-louvain,professeur à l'Université de Louvain,,1,1,professeur à l'Université de Louvain
