company_id,name,territory,n_territories,all_territories,sector,sector_group,sector_group_en,sector_raw,n_directors,n_connected,share_connected,connection_tier,connection_tier_name,has_executive,has_legislature,has_administration,has_local,has_proxy,n_executive,n_legislature,n_administration,n_local,n_proxy,has_sitting,has_former,n_sitting,n_former,n_testable,n_concurrent,n_connected_neighbours,indirect_only,first_connection_year,last_connection_year,confidence,connected_directors
africaineentreprisesindustriellesimmobilieresbp,"Société africaine d'entreprises industrielles et immobilières, B. P",Afrique équatoriale française,1,Afrique équatoriale française,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),4,1,0.2500,3,legislature,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,1949,1949,medium,ANDRÉ Pierre
africaineentreprisessiege,Compagnie Africaine d'Entreprises . Siège,Côte d'Ivoire,1,Côte d'Ivoire,Industries,unclassified,Unclassified,Industries,1,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,
africaineetsbrossette,Société africaine des Éts Brossette,Afrique occidentale française,1,Afrique occidentale française,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),8,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,
africaineetudescommercialesindustrielles,Société africaine d'études commerciales et industrielles,Afrique occidentale française,1,Afrique occidentale française,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),4,1,0.2500,4,executive,1,0,1,0,0,1,0,1,0,0,1,0,2,0,0,0,3,0,1975,1975,low,Gaudart
africaineeuropecentrale,Société africaine pour l'Europe Centrale,Maroc,1,Maroc,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),3,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,,,,
africaineexplosifs,Cie africaine des explosifs,Maroc,1,Maroc,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),6,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,,,,
africainefilaturetissage,Société africaine de filature et tissage,Maroc,1,Maroc,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),7,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,,
africainefinanciereagricole,Société africaine financière et agricole,Afrique occidentale française,2,Afrique occidentale française; Côte d'Ivoire,"Agro-alimentaire, cultures industrielles",food_processing,"Food processing, livestock and fishing","Agro-alimentaire, cultures industrielles",11,2,0.1818,2,administration,0,0,1,1,0,0,0,2,1,0,1,0,3,0,0,0,59,0,1937,1963,medium,Camille Lejeune; Maurice Superville
africaineforestiere,Société africaine forestière,Afrique équatoriale française,1,Afrique équatoriale française,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),4,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,,,,
africaineforestiereagricole,Société africaine forestière et agricole,Afrique équatoriale française,2,Afrique équatoriale française; Cameroun,Documents généraux (par ordre chronologique),food_processing,"Food processing, livestock and fishing",industries agro-alimentaires,10,1,0.1000,4,executive,1,1,0,0,0,1,1,0,0,0,1,0,2,0,0,0,24,0,1947,1951,high,Jean de Beaumont
africaineforestiereagricolesafacameroun,Société africaine forestière et agricole (SAFA au Cameroun),,0,,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),12,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,,,,
africaineforestiereallumettes,Cie africaine forestière et des allumettes,Afrique occidentale française,1,Afrique occidentale française,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),4,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,,,,
