person_id,name,name_as_parsed,positionality,positionality_group,confidence,evidence,regions,countries,n_board_companies,n_board_ties,first_year,last_year
georges,Georges,Georges,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Afrique occidentale francaise; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc,Afrique équatoriale française; Dahomey (Bénin); Indochine; Madagascar; Maroc,8,9,1901,1973
jahan-a,A. Jahan,A. Jahan,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Maroc,Maroc,8,2,1937,1956
a-s,S. A,S. A,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Antilles-Guyane; Maroc,Afrique occidentale française; Guadeloupe et Martinique; Maroc,8,8,1930,1963
pierre,Pierre,Pierre,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Antilles-Guyane; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc,Afrique occidentale française; Brésil; Côte d'Ivoire; Indochine; Madagascar; Maroc,8,8,1911,1973
ing-ecp-b,ECP,Bardouillet [ing. ECP,colonial,european_unspecified,low,residual_no_indigenous_marker;name_recovered,Algerie; Empire (transversal); Indochine,Algérie; Indochine,8,9,1905,1948
mercier-j,J. Mercier,J. Mercier,colonial,european_unspecified,low,residual_no_indigenous_marker,Algerie; Antilles-Guyane; Empire (transversal); Maroc; Tunisie,Algérie; Guyane française; Maroc; Tunisie,8,8,1908,1956
droit-de-timbre-acquitte-par-abonnement-p,? Droit de timbre acquitté par abonnement,? Droit de timbre acquitté par abonnement,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Afrique occidentale francaise; Algerie; Empire (transversal); Indochine; Madagascar et Djibouti; Pacifique,Afrique équatoriale française; Algérie; Côte d'Ivoire; Indochine; Madagascar; Nouvelles-Hébrides (Mélanésie),8,9,1929,1958
cipriani-p,P Cipriani,P Cipriani,colonial,european_unspecified,low,residual_no_indigenous_marker,Algerie; Empire (transversal),Algérie,8,5,1944,1956
catalogne-e,Catalogne,Catalogne,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Afrique occidentale francaise; Indochine,Afrique occidentale française; Afrique équatoriale française; Côte d'Ivoire; Indochine; Oubangui-Chari (Centrafrique),8,9,1947,1971
benard-g,G Bénard,G Bénard,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Antilles-Guyane; Empire (transversal),Afrique équatoriale française; Cameroun; Guadeloupe et Martinique,8,6,1924,1956
