city_1,city_2,territory_1,territory_2,group_1,group_2,n_interlocks
Casablanca,Haïphong,Maroc,Indochine,empire,empire,24
Paris,Tlemcen,France,Algérie,metropole,empire,24
Casablanca,Cholon,Maroc,Indochine,empire,empire,24
Le Caire,Paris,Égypte,France,foreign,metropole,23
Abidjan,Casablanca,Côte d'Ivoire,Maroc,empire,empire,23
Alger,Marseille,Algérie,France,empire,metropole,23
Alger,Hussein-Dey,Algérie,Algérie,empire,empire,23
Haïphong,Pnom-Penh,Indochine,Indochine,empire,empire,21
Casablanca,Marrakech,Maroc,Maroc,empire,empire,21
Paris,Toulon,France,France,metropole,metropole,21
Nantes,Paris,France,France,metropole,metropole,21
Mostaganem,Paris,Algérie,France,empire,metropole,21
Kayes,Paris,Soudan français,France,empire,metropole,21
Paris,Vinh,France,Indochine,metropole,empire,20
Djibouti,Saïgon,Djibouti,Indochine,empire,empire,20
Cotonou,Paris,Dahomey (Bénin),France,empire,metropole,20
Saïgon,Vinh,Indochine,Indochine,empire,empire,20
Hanoï,Pnom-Penh,Indochine,Indochine,empire,empire,19
Paris,Sfax,France,Tunisie,metropole,empire,19
Grand-Bassam,Marseille,Côte d'Ivoire,France,empire,metropole,19
Paris,Port-Lyautey,France,Maroc,metropole,empire,18
Casablanca,Kayes,Maroc,Soudan français,empire,empire,18
Hussein-Dey,Paris,Algérie,France,empire,metropole,18
Alger,Haïphong,Algérie,Indochine,empire,empire,18
Bienhoa,Paris,Indochine,France,empire,metropole,18
Saïgon,Tananarive,Indochine,Madagascar,empire,empire,18
Casablanca,Libreville,Maroc,Gabon,empire,empire,18
Alger,Hanoï,Algérie,Indochine,empire,empire,18
Casablanca,Pnom-Penh,Maroc,Indochine,empire,empire,17
Paris,Port-Vila,France,Nouvelles-Hébrides,metropole,empire,17
Paris,Pointe-Noire,France,Congo-Brazzaville,metropole,empire,16
Bamako,Paris,Soudan français,France,empire,metropole,16
Lyon,Saïgon,France,Indochine,metropole,empire,16
Casablanca,Constantine,Maroc,Algérie,empire,empire,16
Casablanca,Oran,Maroc,Algérie,empire,empire,15
Anvers,Paris,Belgique,France,foreign,metropole,15
Diégo-Suarez,Paris,Madagascar,France,empire,metropole,15
Nam-Dinh,Paris,Indochine,France,empire,metropole,15
Haïphong,Tananarive,Indochine,Madagascar,empire,empire,15
Abidjan,Dakar,Côte d'Ivoire,Sénégal,empire,empire,15
Bordeaux,Saïgon,France,Indochine,metropole,empire,15
Casablanca,Londres,Maroc,Royaume-Uni,empire,foreign,14
Paris,Sousse,France,Tunisie,metropole,empire,14
Cholon,Haïphong,Indochine,Indochine,empire,empire,14
Saïgon,Tunis,Indochine,Tunisie,empire,empire,14
Douala,Saïgon,Cameroun,Indochine,empire,empire,14
Athènes,Paris,Grèce,France,foreign,metropole,14
Paris,Singapour,France,Malaisie,metropole,foreign,14
Abidjan,Grand-Bassam,Côte d'Ivoire,Côte d'Ivoire,empire,empire,13
Brazzaville,Saïgon,Congo-Brazzaville,Indochine,empire,empire,13
Rabat,Tanger,Maroc,Maroc,empire,empire,13
Alger,Tanger,Algérie,Maroc,empire,empire,13
Casablanca,Tananarive,Maroc,Madagascar,empire,empire,13
Bruxelles,Casablanca,Belgique,Maroc,foreign,empire,13
Casablanca,Douala,Maroc,Cameroun,empire,empire,13
Abidjan,La Haye,Côte d'Ivoire,Pays-Bas,empire,foreign,13
Marseille,Tunis,France,Tunisie,metropole,empire,13
Lomé,Paris,Togo,France,empire,metropole,13
Dakar,Marseille,Sénégal,France,empire,metropole,13
Alger,Rabat,Algérie,Maroc,empire,empire,13
Bordeaux,Kayes,France,Soudan français,metropole,empire,13
La Rochelle,Paris,France,France,metropole,metropole,13
Marseille,Pnom-Penh,France,Indochine,metropole,empire,12
Lyon,Marseille,France,France,metropole,metropole,12
La Haye,Londres,Pays-Bas,Royaume-Uni,foreign,foreign,12
Paris,Toulouse,France,France,metropole,metropole,12
Brazzaville,Dakar,Congo-Brazzaville,Sénégal,empire,empire,12
Dakar,Kayes,Sénégal,Soudan français,empire,empire,12
Alger,Libreville,Algérie,Gabon,empire,empire,12
Paris,Rome,France,Italie,metropole,foreign,12
Lyon,Tunis,France,Tunisie,metropole,empire,12
Abidjan,Brazzaville,Côte d'Ivoire,Congo-Brazzaville,empire,empire,12
Dunkerque,Paris,France,France,metropole,metropole,12
Bordeaux,Marseille,France,France,metropole,metropole,11
Grand-Bassam,Saïgon,Côte d'Ivoire,Indochine,empire,empire,11
Paris,Saint-Louis,France,Sénégal,metropole,empire,11
Haïphong,Lyon,Indochine,France,empire,metropole,11
Casablanca,La Haye,Maroc,Pays-Bas,empire,foreign,11
Alger,Brazzaville,Algérie,Congo-Brazzaville,empire,empire,11
Alger,Djibouti,Algérie,Djibouti,empire,empire,11
Dakar,Haïphong,Sénégal,Indochine,empire,empire,11
Dakar,Djibouti,Sénégal,Djibouti,empire,empire,11
Bordeaux,Rabat,France,Maroc,metropole,empire,11
Abidjan,Douala,Côte d'Ivoire,Cameroun,empire,empire,11
Paris,Tamatave,France,Madagascar,metropole,empire,10
Alexandrie,Paris,Égypte,France,foreign,metropole,10
Djibouti,Marseille,Djibouti,France,empire,metropole,10
Alger,Londres,Algérie,Royaume-Uni,empire,foreign,10
Casablanca,Constantinople,Maroc,Empire ottoman/Turquie,empire,foreign,10
Fort-de-France,Paris,Guadeloupe et Martinique,France,empire,metropole,10
Dakar,Lyon,Sénégal,France,empire,metropole,10
Abidjan,Bordeaux,Côte d'Ivoire,France,empire,metropole,10
Bordeaux,Meknès,France,Maroc,metropole,empire,10
Djibouti,Majunga,Djibouti,Madagascar,empire,empire,10
Lyon,Pnom-Penh,France,Indochine,metropole,empire,9
Dap-Cau,Paris,Indochine,France,empire,metropole,9
Bruxelles,Saïgon,Belgique,Indochine,foreign,empire,9
Brazzaville,Marseille,Congo-Brazzaville,France,empire,metropole,9
Tanger,Tunis,Maroc,Tunisie,empire,empire,9
Marseille,Tanger,France,Maroc,metropole,empire,9
Saïgon,Tanger,Indochine,Maroc,empire,empire,9
Paris,Thiès,France,Sénégal,metropole,empire,9
Casablanca,Tuléar,Maroc,Madagascar,empire,empire,9
La Haye,Singapour,Pays-Bas,Malaisie,foreign,foreign,9
Djibouti,Haïphong,Djibouti,Indochine,empire,empire,9
Alger,Tananarive,Algérie,Madagascar,empire,empire,9
Dakar,Rabat,Sénégal,Maroc,empire,empire,9
Moroni,Paris,Comores,France,empire,metropole,9
Bangui,Brazzaville,Oubangui-Chari,Congo-Brazzaville,empire,empire,9
Brazzaville,Douala,Congo-Brazzaville,Cameroun,empire,empire,9
Djibouti,Tunis,Djibouti,Tunisie,empire,empire,9
Dakar,Pnom-Penh,Sénégal,Indochine,empire,empire,8
Abidjan,Pnom-Penh,Côte d'Ivoire,Indochine,empire,empire,8
Cholon,Pnom-Penh,Indochine,Indochine,empire,empire,8
Pnom-Penh,Tananarive,Indochine,Madagascar,empire,empire,8
Djibouti,Pnom-Penh,Djibouti,Indochine,empire,empire,8
Casablanca,Grand-Bassam,Maroc,Côte d'Ivoire,empire,empire,8
Dakar,Grand-Bassam,Sénégal,Côte d'Ivoire,empire,empire,8
Nossi-Bé,Saïgon,Madagascar,Indochine,empire,empire,8
Brazzaville,Grand-Bassam,Congo-Brazzaville,Côte d'Ivoire,empire,empire,8
La Haye,Rome,Pays-Bas,Italie,foreign,foreign,8
Alger,Bruxelles,Algérie,Belgique,empire,foreign,8
Bordeaux,Djibouti,France,Djibouti,metropole,empire,8
Dakar,Tananarive,Sénégal,Madagascar,empire,empire,8
Dakar,Rufisque,Sénégal,Sénégal,empire,empire,8
Haïphong,Marseille,Indochine,France,empire,metropole,8
Cayenne,Saïgon,Guyane française,Indochine,empire,empire,8
Hanoï,Tananarive,Indochine,Madagascar,empire,empire,8
