person_id,surname,given_variants,n_companies,n_board_companies,n_observations,top_role,roles,first_year,last_year,regions,sectors,n_name_variants,name_variants,merged_keys,affiliation_notes
depots-a-paris,dépôts: à Paris: 11,,1,1,2,administrateur,administrateur:2,1925,1925,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,dépôts: à Paris: 11,depots-a-paris,
oran-sacs-en-jute,Oran. Sacs en jute,,1,1,2,administrateur,administrateur:2,1925,1925,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,Oran. Sacs en jute,oran-sacs-en-jute,
produits-chimiques-sacs-neufs,produits chimiques. Sacs neufs,,1,1,2,administrateur,administrateur:2,1925,1925,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,produits chimiques. Sacs neufs,produits-chimiques-sacs-neufs,
ostende,Ostende,,1,1,2,administrateur,administrateur:2,1925,1925,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,Ostende,ostende,
rome,Rome,,1,1,2,administrateur,administrateur:2,1925,1925,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,Rome,rome,
bologne,Bologne,,1,1,2,administrateur,administrateur:2,1925,1925,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,Bologne,bologne,
varsovie,Varsovie,,1,1,2,administrateur,administrateur:2,1925,1925,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,Varsovie,varsovie,
salonique,Salonique,,1,1,2,administrateur,administrateur:2,1925,1925,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,Salonique,salonique,
belgrade,Belgrade,,1,1,2,administrateur,administrateur:2,1925,1925,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,Belgrade,belgrade,
bucarest,Bucarest,,1,1,2,administrateur,administrateur:2,1925,1925,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,Bucarest,bucarest,
work-b,Work,B. G.,1,1,2,president,president:2,1925,1925,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,B. G. Work,work-b,
lumsden-a,Lumsden,A. E.,1,1,2,vice_president,vice_president:2,1925,1925,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,A. E. Lumsden,lumsden-a,
adm-mm-h-k-raymond,Adm.: MM. H. K. Raymond,,1,1,2,president,president:2,1925,1925,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,Adm.: MM. H. K. Raymond,adm-mm-h-k-raymond,
minotto-e,Minotto,E. C.,1,1,2,president,president:2,1925,1925,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,E. C. Minotto,minotto-e,
hausseret-w,Hausseret,W.,1,1,2,president,president:2,1925,1925,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,W. Hausseret,hausseret-w,
c-w,C,W.,1,1,2,president,president:2,1925,1925,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,W. C,c-w,
legion-d-honn-c,Légion d'honn,C.,1,1,2,president,president:1; administrateur_delegue:1,1925,1925,Algerie,Documents généraux (par ordre chronologique),1,C. Légion d'honn,legion-d-honn-c,
vernay,VERNAY,,2,1,2,gerant,gerant:1; administrateur:1,1925,1925,Algerie; Madagascar et Djibouti,Documents généraux (par ordre chronologique),1,VERNAY,vernay,
basset-l,Basset,Lucien,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,Lucien Basset,basset-l,
barenton,Barenton,,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,Barenton,barenton,Manche
jurques,Jurques,,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,Jurques,jurques,
ondefontaine,Ondefontaine,,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,Ondefontaine,ondefontaine,Calvados
marouania,Marouania,,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,Marouania,marouania,
chastel,Chastel,,1,1,2,administrateur,administrateur:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,Chastel,chastel,André; Peñarroya
direct-zinc,direct. Zinc,,1,1,2,administrateur,administrateur:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,direct. Zinc,direct-zinc,
direct-m-p-tiquet,Direct.: M. P Tiquet,,2,1,2,directeur,directeur:1; president:1,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,Direct.: M. P Tiquet,direct-m-p-tiquet,ierre
p-hackenberger-gaz,P Hackenberger [Gaz,,2,1,2,directeur,directeur:1; administrateur:1,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,P Hackenberger [Gaz,p-hackenberger-gaz,aul
bq-de-tunisie,Bq de Tunisie…],,2,1,2,directeur,directeur:1; administrateur:1,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,Bq de Tunisie…],bq-de-tunisie,
adm-p-gorand,adm.: P Gorand,,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,adm.: P Gorand,adm-p-gorand,ierre
j-de-barrau-de-muratel,J de Barrau de Muratel,,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,J de Barrau de Muratel,j-de-barrau-de-muratel,ean
e-la-bonnardiere,E La Bonnardière,,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,E La Bonnardière,e-la-bonnardiere,mm.
r-leo,R Léo,,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,R Léo,r-leo,oger
l-reclus-exploitation-des-mines,L Reclus. Exploitation des mines,,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,L Reclus. Exploitation des mines,l-reclus-exploitation-des-mines,ouis
minieres-a-vernet-les-bains,minières à Vernet-les-Bains,,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,minières à Vernet-les-Bains,minieres-a-vernet-les-bains,
escaro,Escaro,,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,Escaro,escaro,Pyrénées-Orientales
kristel,Kristel,,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,Kristel,kristel,Algérie
pianelli,Pianelli,,2,1,2,ingenieur_conseil,ingenieur_conseil:1; administrateur:1,1883,1925,Algerie; Empire (transversal),Documents généraux (par ordre chronologique); Transports maritimes,1,Pianelli,pianelli,Simon; plus bas: Pianello
pdt-acieries-de-france,pdt Aciéries de France,,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,pdt Aciéries de France,pdt-acieries-de-france,
dupont-b,Dupont,Bq,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,Bq Dupont,dupont-b,
adm-cic,adm. CIC,,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,adm. CIC,adm-cic,
beaugey-r,Beaugey,Raymond,1,1,2,vice_president,vice_president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,Raymond Beaugey,beaugey-r,
adm-zaccar,adm. Zaccar],,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,adm. Zaccar],adm-zaccar,11 mai 1926; † mai 1926
kroller-wm-h-muller-a,Kröller [Wm. H. Müller,Antony,1,1,2,president,president:2,1925,1925,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,Antony Kröller [Wm. H. Müller,kroller-wm-h-muller-a,
chaligny-a,Chaligny,Albans; André,1,1,2,administrateur_delegue,administrateur_delegue:1; directeur_general:1,1925,1925,Algerie,Documents généraux (par ordre chronologique),2,Albans Chaligny; André Chaligny,chaligny-a,
de-maniquet-vauberet-l,de Maniquet- Vauberet,Louis,1,1,2,president,president:2,1925,1928,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,Louis de Maniquet- Vauberet,de-maniquet-vauberet-l,
bezons,Bezons,,1,1,2,president,president:2,1919,1919,Algerie,Documents généraux (par ordre chronologique),1,Bezons,bezons,S.-et-O.; S.-et.O.
co-fdt-thomson-houston,co-fdt Thomson-Houston],,1,1,2,president,president:2,1919,1919,Algerie,Documents généraux (par ordre chronologique),1,co-fdt Thomson-Houston],co-fdt-thomson-houston,† mars 1924
dalaise-a,Dalaise,Adolphe,1,1,2,president,president:1; commissaire_aux_comptes:1,1907,1919,Algerie,"Documents généraux (par ordre chronologique); Transports terrestres, garages automobiles et agricoles",2,Adolphe Dalaise; Dalaise,dalaise; dalaise-a,
pres-m-gabriel-gerard,Prés.: M. Gabriel Gérard,,1,1,2,administrateur,administrateur:2,1919,1921,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,Prés.: M. Gabriel Gérard,pres-m-gabriel-gerard,
thiebaud-e,Thiébaud,Émile,1,1,2,administrateur_delegue,administrateur_delegue:2,1919,1921,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,Émile Thiébaud,thiebaud-e,
damiani-s,Damiani,Simon,1,1,2,administrateur,administrateur:2,1919,1921,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,Simon Damiani,damiani-s,
bastia,Bastia,,1,1,2,administrateur,administrateur:2,1919,1921,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,Bastia,bastia,
ferretti,Ferretti,,1,1,2,administrateur,administrateur:2,1919,1921,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,Ferretti,ferretti,
maury-j,Maury,J.-B.,1,1,2,administrateur,administrateur:2,1919,1921,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,J.-B. Maury,maury-j,
bilhaud,Bilhaud,,1,1,2,administrateur,administrateur:2,1919,1921,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,Bilhaud,bilhaud,
papacristou,Papacristou,,1,1,2,administrateur,administrateur:2,1919,1921,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,Papacristou,papacristou,
weil-a-beyrouth-p,Weil à Beyrouth,Paul,1,1,2,administrateur,administrateur:2,1919,1921,Algerie; Tunisie,Documents généraux (par ordre chronologique),1,Paul Weil à Beyrouth,weil-a-beyrouth-p,
carron,CARRON,,2,1,2,administrateur,administrateur:1; directeur_general:1,1919,1955,Algerie; Indochine,Documents généraux (par ordre chronologique),1,CARRON,carron,
sansot,Sansot,,2,1,2,administrateur,administrateur:1; directeur_general:1,1919,1955,Algerie; Indochine,Documents généraux (par ordre chronologique),1,Sansot,sansot,
chili,Chili,,2,1,2,administrateur,administrateur:1; gerant:1,1919,1938,Algerie,Documents généraux (par ordre chronologique),1,Chili,chili,
adm-direct-m-l-jabet,adm.-direct.: M. L. Jabet,,1,1,2,administrateur,administrateur:1; president:1,1925,1925,Afrique occidentale francaise; Maroc,Documents généraux (par ordre chronologique),1,adm.-direct.: M. L. Jabet,adm-direct-m-l-jabet,
abidjan-maroc-kenitra,Abidjan. Maroc: Kenitra,,1,1,2,administrateur,administrateur:1; president:1,1925,1925,Afrique occidentale francaise; Maroc,Documents généraux (par ordre chronologique),1,Abidjan. Maroc: Kenitra,abidjan-maroc-kenitra,
corindon,Corindon,,1,1,2,administrateur,administrateur:2,1925,1925,Maroc,Documents généraux (par ordre chronologique),1,Corindon,corindon,
etc-feutre-asphalte-pour-renforcer-les-toitures,etc. Feutre asphalté pour renforcer les toitures,,1,1,2,administrateur,administrateur:2,1925,1925,Maroc; Tunisie,Documents généraux (par ordre chronologique),1,etc. Feutre asphalté pour renforcer les toitures,etc-feutre-asphalte-pour-renforcer-les-toitures,
mimeur-agences-a-oudjda,Mimeur. Agences à Oudjda,,1,1,2,president,president:2,1925,1925,Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",1,Mimeur. Agences à Oudjda,mimeur-agences-a-oudjda,
mazagran,Mazagran,,1,1,2,president,president:2,1925,1925,Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",1,Mazagran,mazagran,
d-huart-j,d'Huart,J.; Jean,2,1,2,president,president:1; commissaire_aux_comptes:1,1925,1956,Empire (transversal); Maroc,Documents généraux (par ordre chronologique),2,J. d'Huart; Jean d'Huart,d-huart-j,Senelle- Maubeuge; comm. cptes
braunschvig-transports-maritimes-g,Braunschvig. Transports maritimes,G.,1,1,2,administrateur,administrateur:2,1925,1925,Maroc,"Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens",1,G. Braunschvig. Transports maritimes,braunschvig-transports-maritimes-g,
adminis-mm-beigbeder-pdt-scac,adminis.: MM. Beigbeder [pdt SCAC,,1,1,2,president,president:2,1925,1925,Tunisie,Documents généraux (par ordre chronologique); Mines,1,adminis.: MM. Beigbeder [pdt SCAC,adminis-mm-beigbeder-pdt-scac,David
de-dietrich,de Dietrich,,1,1,2,president,president:2,1925,1925,Tunisie,Documents généraux (par ordre chronologique); Mines,1,de Dietrich,de-dietrich,Albert; 1861-1956
jouve-g,Jouve,Gustave,1,1,2,administrateur_delegue,administrateur_delegue:2,1925,1925,Tunisie,Documents généraux (par ordre chronologique); Industries agro-alimentaires,1,Gustave Jouve,jouve-g,
laborde-galene,Laborde. Galène,,1,1,2,administrateur,administrateur:2,1925,1925,Tunisie,Documents généraux (par ordre chronologique); Mines,1,Laborde. Galène,laborde-galene,Fernand
lucas-de-peslouan,Lucas de Peslouan,,1,1,2,administrateur,administrateur:2,1925,1944,Tunisie,Documents généraux (par ordre chronologique); Mines,1,Lucas de Peslouan,lucas-de-peslouan,
pres-rey-herme,Prés.: Rey-Herme,,1,1,2,administrateur,administrateur:2,1925,1944,Tunisie,Documents généraux (par ordre chronologique); Mines,1,Prés.: Rey-Herme,pres-rey-herme,
adm-genthon,adm.: Genthon,,1,1,2,administrateur,administrateur:2,1925,1944,Tunisie,Documents généraux (par ordre chronologique); Mines,1,adm.: Genthon,adm-genthon,
raverot,Raverot,,1,1,2,administrateur,administrateur:2,1902,1944,Tunisie,Documents généraux (par ordre chronologique); Mines,1,Raverot,raverot,
pres-m-l-michaux,Prés.: M. L. Michaux,,1,1,2,administrateur,administrateur:2,1938,1938,Algerie,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",1,Prés.: M. L. Michaux,pres-m-l-michaux,
adm-mm-l-berthon,Adm.: MM. L. Berthon,,1,1,2,administrateur,administrateur:2,1938,1938,Algerie,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",1,Adm.: MM. L. Berthon,adm-mm-l-berthon,
p-chidaine,P Chidaine,,1,1,2,administrateur,administrateur:2,1938,1938,Algerie,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",1,P Chidaine,p-chidaine,aul; Pt-à-Mousson
l-ferasson,L Ferasson,,1,1,2,administrateur,administrateur:2,1938,1938,Algerie,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",2,L Ferasson; L Férasson,l-ferasson,ouis; ucien; BIAN
mocquerio-p,Mocquerio,P.,1,1,2,administrateur,administrateur:2,1938,1938,Algerie,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",1,P. Mocquerio,mocquerio-p,
g-morin,G Morin,,1,1,2,administrateur,administrateur:2,1938,1938,Algerie,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",1,G Morin,g-morin,eorges
breton-m,Breton,Marcel; Mme G,2,1,2,gerant,gerant:1; administrateur:1,1938,1956,Algerie; Empire (transversal),Documents généraux (par ordre chronologique),2,Marcel Breton; Mme G Breton,breton-m,"Docks des alcools, lubrifiants et carburants"
hollande-j,Hollande,Jean,2,1,2,gerant,gerant:1; administrateur:1,1931,1938,Afrique equatoriale francaise; Algerie,Agro-alimentaire; Documents généraux (par ordre chronologique),2,Hollande; Jean Hollande,hollande; hollande-j,
bulgarie,Bulgarie,,2,1,2,gerant,gerant:1; vice_president:1,1925,1938,Algerie; Empire (transversal),Documents généraux (par ordre chronologique); Transports maritimes,1,Bulgarie,bulgarie,
portugal,Portugal,,2,1,2,gerant,gerant:1; administrateur:1,1919,1938,Algerie; Indochine,Documents généraux (par ordre chronologique); Mines,1,Portugal,portugal,
adm-mm-p-le-play,Adm.: MM. P. Le Play,,1,1,2,president,president:2,1938,1938,Algerie; Empire (transversal),Documents généraux (par ordre chronologique); Groupes industriels transcoloniaux,2,Adm.: MM. P Le Play; Adm.: MM. P. Le Play,adm-mm-p-le-play,ierre
bentley,Bentley,,2,1,2,administrateur,administrateur:1; gerant:1,1937,1938,Afrique equatoriale francaise; Algerie,Documents généraux (par ordre chronologique),2,Bentley; ©: Bentley,bentley,
meley-j,Meley,J.,2,1,2,gerant,gerant:1; administrateur:1,1910,1956,Algerie; Empire (transversal),Documents généraux (par ordre chronologique),2,J. Meley; Meley,meley; meley-j,Houillères Bassin Loire
l-mercier,L Mercier,,1,1,2,president,president:2,1910,1914,Algerie,Documents généraux (par ordre chronologique); Mines et carrières,1,L Mercier,l-mercier,ouis; ouis; † 1925
henneron,Henneron,,1,1,2,administrateur,administrateur:2,1938,1938,Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",1,Henneron,henneron,
ellen-prevot-exploitation-de-comptoirs-de-vente,Ellen-Prévot. Exploitation de comptoirs de vente,,1,1,2,administrateur,administrateur:2,1938,1938,Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",1,Ellen-Prévot. Exploitation de comptoirs de vente,ellen-prevot-exploitation-de-comptoirs-de-vente,Z-16795
adm-mm-j-galicier,Adm.: MM. J Galicier,,1,1,2,president,president:1; administrateur:1,1938,1938,Maroc,Documents généraux (par ordre chronologique); Industries agro-alimentaires,2,Adm.: MM. J Galicier; Adm.: MM. J. Galicier,adm-mm-j-galicier,ean
mise-en-valeur-d-exploitations-agricoles-au-maroc,mise en valeur d'exploitations agricoles au Maroc,,1,1,2,president,president:1; administrateur:1,1938,1938,Maroc,Documents généraux (par ordre chronologique); Industries agro-alimentaires,1,mise en valeur d'exploitations agricoles au Maroc,mise-en-valeur-d-exploitations-agricoles-au-maroc,
au-maroc-de-materiel-agricole-r,au Maroc de matériel agricole,Représentation,1,1,2,president,president:1; administrateur:1,1938,1938,Maroc,Documents généraux (par ordre chronologique); Industries agro-alimentaires,1,Représentation au Maroc de matériel agricole,au-maroc-de-materiel-agricole-r,
gorchs-chacou-commerce-de-metaux-f,Gorchs- Chacou. Commerce de métaux,Félix,1,1,2,president,president:2,1938,1938,Maroc,Commerce; Documents généraux (par ordre chronologique),1,Félix Gorchs- Chacou. Commerce de métaux,gorchs-chacou-commerce-de-metaux-f,SCAC; † mai 1925
adm-d,Adm,,2,1,2,gerant,gerant:1; administrateur:1,1938,1940,Empire (transversal); Tunisie,Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,2,Adm; Adm.-d,adm; adm-d,
e-laffargue,E Laffargue,,1,1,2,president,president:2,1938,1938,Tunisie,Documents généraux (par ordre chronologique); Mines,1,E Laffargue,e-laffargue,mile
tronchere,Tronchère,,1,1,2,president,president:2,1938,1938,Tunisie,Documents généraux (par ordre chronologique); Mines,1,Tronchère,tronchere,
berthouin-laverie-pour-minerais-de-plomb,Berthouin. Laverie pour minerais de plomb,,1,1,2,president,president:2,1938,1938,Tunisie,Documents généraux (par ordre chronologique); Mines,1,Berthouin. Laverie pour minerais de plomb,berthouin-laverie-pour-minerais-de-plomb,
galazzi-e,GALAZZI,Ernest; Ernesto,1,1,2,administrateur,administrateur:2,1920,1922,Tunisie,"Banques et groupes financiers, assurances",2,Ernest Galazzi; Ernesto GALAZZI,galazzi-e,
galimberti-c,GALIMBERTI,Carlo; Charles,1,1,2,administrateur,administrateur:2,1920,1922,Tunisie,"Banques et groupes financiers, assurances",2,Carlo GALIMBERTI; Charles Galimberti,galimberti-c,
gavazzi-l,GAVAZZI,Lodovico; Louis,1,1,2,administrateur,administrateur:2,1920,1922,Tunisie,"Banques et groupes financiers, assurances",2,Lodovico GAVAZZI; Louis Gavazzi,gavazzi-l,
introini-l,INTROINI,Leopoldo; Léopold,1,1,2,administrateur,administrateur:2,1920,1922,Tunisie,"Banques et groupes financiers, assurances",2,Leopoldo INTROINI; Léopold Introini,introini-l,
eley-f,Eley,Frederick,1,1,2,administrateur,administrateur:2,1922,1922,Afrique occidentale francaise; Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",1,Frederick Eley,eley-f,
b-edgar-c,B. Edgar,Clifford,1,1,2,administrateur,administrateur:2,1922,1922,Afrique occidentale francaise; Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",1,Clifford B. Edgar,b-edgar-c,
edward-harris-a,Edward Harris,Austin,1,1,2,administrateur,administrateur:2,1922,1922,Afrique occidentale francaise; Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",1,Austin Edward Harris,edward-harris-a,
henriques-d,Henriques,D. Q.,1,1,2,administrateur,administrateur:2,1922,1922,Afrique occidentale francaise; Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",1,D. Q. Henriques,henriques-d,
a-johnston-f,A. Johnston,Francis,1,1,2,administrateur,administrateur:2,1922,1922,Afrique occidentale francaise; Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",1,Francis A. Johnston,a-johnston-f,
moore-w,Moore,W. F.,1,1,2,administrateur,administrateur:2,1922,1922,Afrique occidentale francaise; Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",1,W. F. Moore,moore-w,
neville-g,Neville,G. W.,1,1,2,administrateur,administrateur:2,1922,1922,Afrique occidentale francaise; Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",1,G. W. Neville,neville-g,
philipps-o,Philipps,Owen,1,1,2,administrateur,administrateur:2,1922,1922,Afrique occidentale francaise; Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",1,Owen Philipps,philipps-o,
babington-smith-h,Babington Smith,H.,1,1,2,administrateur,administrateur:2,1922,1922,Afrique occidentale francaise; Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",1,H. Babington Smith,babington-smith-h,
harrisson-williams-o,Harrisson Williams,O.,1,1,2,administrateur,administrateur:2,1922,1922,Afrique occidentale francaise; Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",1,O. Harrisson Williams,harrisson-williams-o,
defaucamberge,Defaucamberge,,1,1,2,administrateur,administrateur:2,1912,1914,Algerie,"Banques et groupes financiers, assurances",1,Defaucamberge,defaucamberge,
brincard,Brincard,,1,1,2,administrateur,administrateur:2,1929,1931,Algerie,"Banques et groupes financiers, assurances",1,Brincard,brincard,
delahaye-r,Delahaye,Roger,2,1,2,secretaire,secretaire:1; administrateur:1,1948,1956,Algerie; Empire (transversal),"Banques et groupes financiers, assurances; Documents généraux (par ordre chronologique)",1,Roger Delahaye,delahaye-r,sous-gouv. Bq Algérie + Tunisie
bloch-l,Bloch,Léonce,1,1,2,administrateur,administrateur:2,1892,1897,Tunisie,"Banques et groupes financiers, assurances",1,Léonce Bloch,bloch-l,
halphon-s,Halphon,S.,1,1,2,administrateur,administrateur:2,1892,1897,Tunisie,"Banques et groupes financiers, assurances",1,S. Halphon,halphon-s,
jaudel-a,Jaudel,A.; Alfred,1,1,2,administrateur,administrateur:2,1937,1937,Empire (transversal); Tunisie,"Banques et groupes financiers, assurances; Documents généraux (par ordre chronologique)",2,A. Jaudel; Alfred Jaudel,jaudel-a,
tahar-ben-ammar,Tahar Ben Ammar,,1,1,2,administrateur,administrateur:2,1948,1951,Tunisie,"Banques et groupes financiers, assurances",1,Tahar Ben Ammar,tahar-ben-ammar,
mohamed-ben-otman,Mohamed Ben Otman,,1,1,2,administrateur,administrateur:2,1948,1951,Tunisie,"Banques et groupes financiers, assurances",1,Mohamed Ben Otman,mohamed-ben-otman,
wallemberg-junior-m,Wallemberg Junior,Marcus,1,1,2,administrateur,administrateur:2,1945,1948,Maroc,"Banques, groupes financiers, assureurs",1,Marcus Wallemberg Junior,wallemberg-junior-m,
alfano-v,Alfano,Vincent,2,1,2,commissaire_aux_comptes,commissaire_aux_comptes:1; administrateur:1,1929,1956,Algerie; Empire (transversal),"Banques et groupes financiers, assurances; Documents généraux (par ordre chronologique)",2,Alfano; Vincent Alfano,alfano; alfano-v,Messageries fluviales de Cochinchine
bastos-e,Bastos,E.,1,1,2,administrateur,administrateur:2,1914,1917,Algerie,Industries agro-alimentaires,1,E. Bastos,bastos-e,
bastos-l,Bastos,L.-A.,1,1,2,administrateur,administrateur:2,1914,1917,Algerie,Industries agro-alimentaires,1,L.-A. Bastos,bastos-l,
bastos-a,Bastos,A.,1,1,2,administrateur,administrateur:2,1914,1917,Algerie,Industries agro-alimentaires,1,A. Bastos,bastos-a,
jais-a,Jaïs. 2,A.,1,1,2,administrateur,administrateur:2,1914,1917,Algerie,Industries agro-alimentaires,2,A. Jaïs; A. Jaïs. 2,jais-a,
le-rumeur-j,Le Rumeur,J.,1,1,2,administrateur,administrateur:2,1945,1948,Tunisie,Mines,1,J. Le Rumeur,le-rumeur-j,
mongreville-e,Mongreville,E.,1,1,2,administrateur,administrateur:2,1909,1923,Maroc,Mines,2,E. Mongreville; Mongreville,mongreville; mongreville-e,
lallemand-e,Lallemand,E.,1,1,2,administrateur,administrateur:2,1923,1929,Algerie,"Banques et groupes financiers, assurances",1,E. Lallemand,lallemand-e,
manaut-p,Manaut,P.,1,1,2,administrateur,administrateur:2,1937,1940,Algerie,"Banques et groupes financiers, assurances",1,P. Manaut,manaut-p,
suppl-c-moyse,suppl.: C. Moyse,,1,1,2,administrateur,administrateur:2,1937,1940,Algerie,"Banques et groupes financiers, assurances",1,suppl.: C. Moyse,suppl-c-moyse,
eugene,Eugène,,2,1,2,administrateur,administrateur:1; commissaire_aux_comptes:1,1893,1909,Algerie; Madagascar et Djibouti,Industries agro-alimentaires,1,Eugène,eugene,
zandyck-commissaires-aux-comptes-mm-lepeinteur-e,Zandyck. Commissaires aux comptes: MM. Lepeinteur,E.,1,1,2,administrateur,administrateur:2,1945,1948,Algerie,"Filière bois : exploitation forestière, liège, meubles, cellulose, papier…",1,E. Zandyck. Commissaires aux comptes: MM. Lepeinteur,zandyck-commissaires-aux-comptes-mm-lepeinteur-e,
bouchard,Bouchard,,1,1,2,administrateur,administrateur:2,1945,1948,Algerie,"Filière bois : exploitation forestière, liège, meubles, cellulose, papier…",1,Bouchard,bouchard,
sautter-e,Sautter,Emmanuel; Ernest,1,1,2,administrateur,administrateur:2,1902,1902,Algerie,Mines et carrières,2,Emmanuel Sautter; Ernest Sautter,sautter-e,
henri-greard-o,Henri-Gréard,O.,1,1,2,administrateur,administrateur:2,1931,1933,Maroc,"Transports terrestres, garages automobiles et agricoles",1,O. Henri-Gréard,henri-greard-o,
barreau,Barreau,,1,1,2,administrateur,administrateur:2,1937,1940,Maroc,"Transports terrestres, garages automobiles et agricoles",1,Barreau,barreau,
camerlinck-h,Camerlinck,H.,1,1,2,administrateur,administrateur:2,1945,1953,Maroc,"Transports terrestres, garages automobiles et agricoles",1,H. Camerlinck,camerlinck-h,BPPB
eug-mirabaud,Eug. Mirabaud,,1,1,2,administrateur,administrateur:2,1937,1940,Algerie,"Transports terrestres, garages automobiles et agricoles",1,Eug. Mirabaud,eug-mirabaud,
fleury-a,Fleury,Armand,1,1,2,administrateur,administrateur:2,1926,1931,Algerie,Mines et carrières,1,Armand Fleury,fleury-a,
