source,target,source_name,target_name,weight,shared_companies,source_chamber,target_chamber,same_chamber,mandates_overlap
leonardi-cattolica-p,rossi-c,Pascal Leonardi Cattolica,Cesare Rossi,1,"Banque italienne d'escompte Banca italiana di sconto, Rome",Senate,Senate,1,
lesache-v,renaud-f,Victor Lesaché,Félix Renaud,1,"Société des Étains de l'Indo-Chine, puis Étains de l'Indochine, Pak-Hin-Boun",Chamber of Deputies; Senate,Chamber of Deputies,0,
levy-r-raymond,rollin-l,Raphaël-Georges Lévy,Louis Rollin,1,Société Chérifienne des Pétroles,Senate,Chamber of Deputies,0,
lorgere-a,maroger-j,André Lorgère,Jean Maroger,1,La Dalmatienne,Chamber of Deputies,Senate,0,
lucien-arbel,morin-p,[Lucien] Arbel,Paul Morin,1,L'Assurance financière,Senate,Chamber of Deputies,0,
lucien-arbel,savary-c,[Lucien] Arbel,Charles Savary,1,L'Assurance financière,Senate,Chamber of Deputies,0,
manaut-f,manaut-r,Frédéric-Victor-Adolphe MANAUT,René-Victor Manaut,1,Banque industrielle de l'Afrique du Nord,Chamber of Deputies,Chamber of Deputies,1,0
manaut-r,petit-c,René-Victor Manaut,Claude Petit,1,Banque des produits alimentaires et coloniaux,Chamber of Deputies,Chamber of Deputies,1,
marchegay-l,thoumyre-r,Louis Marchegay,Robert Thoumyre,1,Ciments Portland artificiels de l'Indochine,Chamber of Deputies,Chamber of Deputies; Senate,0,1
marconi-g,rossi-c,Guillaume Marconi,Cesare Rossi,1,"Banque italienne d'escompte Banca italiana di sconto, Rome",Senate,Senate,1,
maroger-j,mayer-r,Jean Maroger,René Mayer,1,Air France,Senate,Chamber of Deputies,0,
maroger-j,michel-c,Jean Maroger,Charles Michel,1,"Société des Phosphates tunisiens, puis Pierrefitte–Kalaa-Djerba, puis Pierrefitte .",Senate,Chamber of Deputies; Senate,0,
marraud-p,rouland-j,Pierre Marraud,Julien Rouland,1,Crédit foncier de France,Senate,Chamber of Deputies; Senate,0,1
mayer-r,petit-c,René Mayer,Claude Petit,1,Grands Moulins de Pantin-Paris,Chamber of Deputies,Chamber of Deputies,1,
mazerand-g,richard-a,Georges Mazerand,Adrien Richard,1,Verreries réunies de Vallerysthal et Portieux,Chamber of Deputies,Senate,0,
mege-h,roulleaux-dugage-h,Henri Mège,Henry Roulleaux-Dugage,1,Compagnie française d'Études et entreprises coloniales,Chamber of Deputies,Chamber of Deputies,1,
mege-h,sonnery-r,Henri Mège,René Sonnery,1,Compagnie française d'Études et entreprises coloniales,Chamber of Deputies,Chamber of Deputies,1,
messimy-a,pasquet-l,Adolphe-Marie Messimy,Louis PASQUET,1,Compagnie des Scieries africaines,Chamber of Deputies; Senate,Senate,0,
meunier-a,michel-c,Albert Meunier,Charles Michel,1,Cie industrielle du platine,Senate,Chamber of Deputies; Senate,0,
michaut-h,viellard-l,Henri Michaut,Louis Viellard,1,Forges de Châtillon-Commentry et Neuves-Maisons,Senate,Senate,1,
michel-c,monti-de-reze-h,Charles Michel,Henri Monti de Rézé,1,Comptoir des mines et des grands travaux du Maroc,Chamber of Deputies; Senate,Chamber of Deputies; Senate,1,1
michel-c,reille-x,Charles Michel,Xavier Reille,1,Compagnie Métallurgique et minière franco-marocaine,Chamber of Deputies; Senate,Chamber of Deputies,0,
michel-c,riche-e,Charles Michel,Étienne Riche,1,Banque des intérêts français,Chamber of Deputies; Senate,Chamber of Deputies,0,0
michel-c,thierry-j,Charles Michel,Joseph Thierry,1,Riz d'Indochine Denis frères,Chamber of Deputies; Senate,Chamber of Deputies,0,1
michel-c,wendel-g,Charles Michel,Guy Wendel,1,Compagnie Métallurgique et minière franco-marocaine,Chamber of Deputies; Senate,Chamber of Deputies,0,1
michelot-l,simon-s,Lucien Michelot,San Simon,1,Banque de l’Indochine,Chamber of Deputies,Senate,0,
milan-f,sellier-h,François Milan,Henri Sellier,1,Compagnie nationale du Rhône (CNR),Senate,Senate,1,
montaigu-h,wendel-f,Hubert Montaigu,François Wendel,1,Société marocaine des Éts J.-J. Carnaud et Forges de Basse-Indre,Chamber of Deputies; Senate,Chamber of Deputies,0,1
morin-p,savary-c,Paul Morin,Charles Savary,1,L'Assurance financière,Chamber of Deputies,Chamber of Deputies,1,1
morisson-p,thierry-j,Pierre Morisson,Joseph Thierry,1,"Société des Îles malgaches, puis Syndicat des îles malgaches",Senate,Chamber of Deputies,0,
noel-l-leon,rouland-j,Léon NOËL,Julien Rouland,1,Crédit foncier,Chamber of Deputies,Chamber of Deputies; Senate,0,0
outrey-e,outrey-m,Ernest Outrey,Max OUTREY,1,Société Foncière du Cambodge,Chamber of Deputies,Chamber of Deputies,1,1
outrey-e,pietri-f,Ernest Outrey,François Pietri,1,Mimot,Chamber of Deputies,Chamber of Deputies,1,1
palotte-j,robledo-r,J. PALOTTE,Romero Robledo,1,"Banque européenne, Bruxelles, Paris. Tentative de reprise des domaines agricoles et de la concession de ramassage d'alfa de la Compagnie franco-algérienne",Senate,Chamber of Deputies,0,
passy-l,simon-s,Louis Passy,San Simon,1,Charbonnages du Tonkin,Chamber of Deputies,Senate,0,
passy-l,thoumyre-r,Louis Passy,Robert Thoumyre,1,Charbonnages du Tonkin,Chamber of Deputies,Chamber of Deputies; Senate,0,0
pechadre-a,stern-j,Adhémar Péchadre,Jacques Stern,1,Légion d’honneur,Chamber of Deputies,Chamber of Deputies,1,1
pietri-f,plichon-j,François Pietri,Jean Plichon,1,Union des mines,Chamber of Deputies,Chamber of Deputies,1,1
prevet-c,prevet-j,Charles Prevet,Jules PREVET,1,"Éts Gomen-Ouaco, puis Société de Ouaco",Chamber of Deputies; Senate,Chamber of Deputies,0,
reille-a,robaglia-b,Amédée Reille,Barthélémy Robaglia,1,Compagnie Générale des Tabacs,Chamber of Deputies,Chamber of Deputies,1,0
reille-a,rouland-j,Amédée Reille,Julien Rouland,1,Compagnie Générale des Tabacs,Chamber of Deputies,Chamber of Deputies; Senate,0,1
reille-x,wendel-g,Xavier Reille,Guy Wendel,1,Compagnie Métallurgique et minière franco-marocaine,Chamber of Deputies,Chamber of Deputies,1,
repiquet-g,simon-s,G. Repiquet,San Simon,1,Banque de l'Afrique occidentale,Senate,Senate,1,
robaglia-b,rouland-j,Barthélémy Robaglia,Julien Rouland,1,Compagnie Générale des Tabacs,Chamber of Deputies,Chamber of Deputies; Senate,0,1
robaglia-b,valude-p,Barthélémy Robaglia,Pierre Valude,1,Cie Agricole Sud-Indochinoise,Chamber of Deputies,Chamber of Deputies,1,1
robbe-f-ferdinand,thoumyre-r,Fernand Robbe,Robert Thoumyre,1,Éts Robbe fr,Chamber of Deputies,Chamber of Deputies; Senate,0,1
robert-p-paul,viollette-m,Pierre Robert,Maurice VIOLLETTE,1,Societe francaise des Cotons africains,Senate,Chamber of Deputies; Senate,0,
rouland-j,saint-germain-m,Julien Rouland,Marcel Saint- Germain,1,Tramway d'Oran à Hammam-Bou-Hadjar et extensions,Chamber of Deputies; Senate,Chamber of Deputies; Senate,1,1
roulleaux-dugage-h,sonnery-r,Henry Roulleaux-Dugage,René Sonnery,1,Compagnie française d'Études et entreprises coloniales,Chamber of Deputies,Chamber of Deputies,1,0
simon-s,tasso-h,San Simon,Henri Tasso,1,Chargeurs réunis,Senate,Chamber of Deputies,0,
simon-s,thoumyre-r,San Simon,Robert Thoumyre,1,Charbonnages du Tonkin,Senate,Chamber of Deputies; Senate,0,
simon-s,vincent-a,San Simon,Adolphe Vincent,1,Compagnie du Maroc,Senate,Chamber of Deputies,0,
talabot-p,teisserenc-de-bort-l,Paulin Talabot,TEISSERENC DE BORT,1,Cie des minerais de fer magnétiques de Mokta-el-Hadid,Chamber of Deputies,Senate,0,
